booking_id,property_id,property_name,country,region,check_in,check_out,num_nights,num_guests,booking_channel,currency,room_rate,revenue,fx_rate_to_zar,revenue_zar,created_at
B1001,P002,Table Bay Retreat,South Africa,Western Cape,2025-01-13,2025-01-18,5,2.0,Direct,EUR,3200,16000.0,20.1,321600.0,2024-12-12 00:00:00
B1002,P004,Okavango Delta Camp,Botswana,North-West,2025-09-16,2025-09-26,10,1.0,Website,EUR,7800,78000.0,20.1,1567800.0,2025-09-11 00:00:00
B1003,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-08-05,2025-08-11,6,3.0,Direct,EUR,3200,19200.0,20.1,385920.0,2025-06-17 00:00:00
B1004,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-05-16,2025-05-17,1,6.0,Direct,USD,5500,5500.0,18.5,101750.0,2025-05-03 00:00:00
B1005,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-04-27,2025-05-02,5,1.0,Website,EUR,12000,60000.0,20.1,1206000.0,2025-03-07 00:00:00
B1006,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-07-09,2025-07-15,6,2.0,OTA,GBP,9200,55200.0,23.4,1291680.0,2025-05-06 00:00:00
B1007,P007,Namib Desert Camp,Namibia,Erongo,2025-05-19,2025-05-28,9,2.0,OTA,GBP,9200,82800.0,23.4,1937520.0,2025-05-06 00:00:00
B1008,P004,Okavango Delta Camp,Botswana,North-West,2025-10-18,2025-10-24,6,2.0,Website,ZAR,9200,55200.0,1.0,55200.0,2025-08-03 00:00:00
B1009,P009,Cape Winelands Manor,South Africa,Western Cape,2025-05-15,2025-05-25,10,4.0,OTA,ZAR,7800,78000.0,1.0,78000.0,2025-05-04 00:00:00
B1010,P002,Table Bay Retreat,South Africa,Western Cape,2025-03-20,2025-03-23,3,6.0,Website,USD,5500,16500.0,18.5,305250.0,2025-01-04 00:00:00
B1011,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-02-28,2025-03-09,9,3.0,Travel Agent,GBP,12000,108000.0,23.4,2527200.0,2025-01-21 00:00:00
B1012,P009,Cape Winelands Manor,South Africa,Western Cape,2025-04-02,2025-04-11,9,1.0,OTA,GBP,12000,108000.0,23.4,2527200.0,2025-01-18 00:00:00
B1013,P009,Cape Winelands Manor,South Africa,Western Cape,2025-01-01,2025-01-11,10,3.0,Travel Agent,USD,5500,55000.0,18.5,1017500.0,2024-10-16 00:00:00
B1014,P002,Table Bay Retreat,South Africa,Western Cape,2025-02-13,2025-02-21,8,1.0,Website,EUR,12000,96000.0,20.1,1929600.0,2024-11-23 00:00:00
B1015,P007,Namib Desert Camp,Namibia,Erongo,2025-04-19,2025-04-28,9,6.0,Website,EUR,9200,82800.0,20.1,1664280.0,2025-02-07 00:00:00
B1016,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-03-03,2025-03-07,4,2.0,OTA,GBP,2500,10000.0,23.4,234000.0,2024-12-08 00:00:00
B1017,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-04-28,2025-04-30,2,1.0,OTA,GBP,12000,24000.0,23.4,561600.0,2025-02-13 00:00:00
B1018,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-10-20,2025-10-30,10,4.0,OTA,ZAR,3200,32000.0,1.0,32000.0,2025-08-31 00:00:00
B1019,P007,Namib Desert Camp,Namibia,Erongo,2025-07-30,2025-08-07,8,6.0,Website,USD,2500,20000.0,18.5,370000.0,2025-07-12 00:00:00
B1021,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-10-09,2025-10-11,2,1.0,OTA,USD,9200,18400.0,18.5,340400.0,2025-09-07 00:00:00
B1022,P007,Namib Desert Camp,Namibia,Erongo,2025-01-31,2025-02-03,3,4.0,Website,ZAR,2500,7500.0,1.0,7500.0,2024-11-16 00:00:00
B1023,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-03-21,2025-03-25,4,3.0,Direct,USD,3200,12800.0,18.5,236800.0,2025-01-14 00:00:00
